rank,title,artist
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2,TOMBOY,(여자)아이들
3,LOVE DIVE,IVE (아이브)
4,Feel My Rhythm,Red Velvet (레드벨벳)
5,사랑인가 봐,멜로망스 (MeloMance)
6,GANADARA (Feat. 아이유),박재범
7,취중고백,김민석 (멜로망스)
8,듣고 싶을까,MSG워너비 (M.O.M)
9,사랑은 늘 도망가,임영웅
10,INVU,태연 (TAEYEON)
11,다정히 내 이름을 부르면,경서예지 & 전건호
12,어제처럼,폴킴
13,신호등,이무진
14,abcdefu,GAYLE
15,ELEVEN,IVE (아이브)
16,Stay,The Kid LAROI & Justin Bieber
17,"스물다섯, 스물하나",자우림
18,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo
19,이제 나만 믿어요,임영웅
20,언제나 사랑해,케이시 (Kassy)
21,LOVE me,BE'O (비오)
22,strawberry moon,아이유 (IU)
23,고백,멜로망스 (MeloMance)
24,RUN2U,STAYC (스테이씨)
25,Stronger (What Doesn't Kill You),Kelly Clarkson
26,다시 사랑한다면 (김필 Ver.),임영웅
27,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오)
28,바라만 본다,MSG워너비 (M.O.M)
29,별빛 같은 나의 사랑아,임영웅
30,Next Level,aespa
31,호랑수월가,탑현
32,SMILEY (Feat. BIBI),YENA (최예나)
33,Bad Habits,Ed Sheeran
34,너를 생각해,주시크 (Joosiq)
35,라일락,아이유 (IU)
36,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
37,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO
38,너의 번호를 누르고,김나영
39,그대라는 사치,임영웅
40,잊었니,임영웅
41,내가 아니라도,주호
42,끝사랑,임영웅
43,MY BAG,(여자)아이들
44,Weekend,태연 (TAEYEON)
45,HERO,임영웅
46,존재만으로,원슈타인
47,서랍,10CM
48,Step Back,GOT the beat
49,Dynamite,방탄소년단
50,Counting Stars (Feat. Beenzino),BE'O (비오)
51,Bk Love,임영웅
52,Tiny Riot,Sam Ryder
53,Blueming,아이유 (IU)
54,Celebrity,아이유 (IU)
55,드라마,아이유 (IU)
56,너의 모든 순간,성시경
57,문득,BE'O (비오)
58,My Universe,Coldplay & 방탄소년단
59,2002,Anne-Marie
60,Butter,방탄소년단
61,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub)
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
63,눈이 오잖아 (Feat. 헤이즈),이무진
64,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU)
65,Off My Face,Justin Bieber
66,봄 사랑 벚꽃 말고,HIGH4 & 아이유
67,비가 오는 날엔 (2021),헤이즈 (Heize)
68,헤픈 우연,헤이즈 (Heize)
69,Real Love,오마이걸 (OH MY GIRL)
70,벚꽃 엔딩,버스커 버스커 (Busker Busker)
71,Starlight,태일 (TAEIL)
72,내 손을 잡아,아이유 (IU)
73,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들
74,밤하늘의 별을 (2020),경서
75,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식 (Basick)
76,Permission to Dance,방탄소년단
77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub)
78,Savage,aespa
79,낙하 (With 아이유),AKMU (악뮤)
80,친구라도 될 걸 그랬어,HYNN (박혜원)
81,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
82,겨울잠,아이유 (IU)
83,버퍼링 (Glitch Mode),NCT DREAM
84,계단말고 엘리베이터,임영웅
85,노래 (The Song),비투비
86,나는 트로트가 싫어요,임창정
87,DAYDREAM,하이라이트 (Highlight)
88,그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH)
89,벚꽃이 피면 우리 그만 헤어져,벤
90,At My Worst,Pink Sweat$
91,Dreams Come True,aespa
92,롤린 (Rollin'),브레이브걸스 (Brave girls)
93,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
94,잊을 수 있을까,노을
95,Because Of You,Ne-Yo
